3月7日現在,,,,
銘柄コード,銘柄名,上場グループ種別,売買単位,貸借区分
6183,ベル２４ＨＤ,市場第一部（内国株）,100,制度信用銘柄
6184,Ｍ－鎌倉新書,マザーズ（内国株）,100,制度信用銘柄
6185,Ｍ－ＳＭＮ,マザーズ（内国株）,100,制度信用銘柄
6186,一蔵,市場第二部（内国株）,100,制度信用銘柄
6201,豊田織,市場第一部（内国株）,100,貸借銘柄
6203,豊和工,市場第一部（内国株）,100,貸借銘柄
6205,ＯＫＫ,市場第一部（内国株）,1000,貸借銘柄
6208,石川製,市場第一部（内国株）,1000,貸借銘柄
6210,東洋機械,市場第一部（内国株）,100,貸借銘柄
6217,津田駒工,市場第一部（内国株）,1000,貸借銘柄
6218,エンシュウ,市場第一部（内国株）,1000,貸借銘柄
6222,島精機,市場第一部（内国株）,100,貸借銘柄
6238,フリュー,市場第一部（内国株）,100,貸借銘柄
6239,Ｊ－ナガオカ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6240,ヤマシンフィルタ,市場第二部（内国株）,100,制度信用銘柄
6245,ヒラノテクシード,市場第二部（内国株）,100,貸借銘柄
6246,テクノスマート,市場第二部（内国株）,100,貸借銘柄
6247,日阪製作,市場第一部（内国株）,100,貸借銘柄
6248,Ｊ－横田製作所,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6249,Ｊ－ＧＣジョイコＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6250,やまびこ,市場第一部（内国株）,100,貸借銘柄
6254,Ｊ－野村マイクロ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6255,Ｍ－ＮＰＣ,マザーズ（内国株）,100,貸借銘柄
6256,Ｊ－ニューフレア,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6257,Ｊ－藤商事,JASDAQスタンダード（内国株式）,100,貸借銘柄
6258,Ｊ－平田機工,JASDAQスタンダード（内国株式）,100,貸借銘柄
6259,Ｊ－大崎エンジ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6262,ペガサス,市場第一部（内国株）,100,制度信用銘柄
6264,Ｍ－マルマエ,マザーズ（内国株）,100,制度信用銘柄
6265,Ｊ－妙徳,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6266,Ｊ－タツモ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6267,Ｊ－ゼネパッカー,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6268,ナブテスコ,市場第一部（内国株）,100,貸借銘柄
6269,三井海洋,市場第一部（内国株）,100,貸借銘柄
6271,ニッセイ,市場第二部（内国株）,100,貸借銘柄
6272,レオン自機,市場第一部（内国株）,100,貸借銘柄
6273,ＳＭＣ,市場第一部（内国株）,100,貸借銘柄
6274,新川,市場第一部（内国株）,100,貸借銘柄
6276,Ｊ－ナビタス,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6277,ホソカワミクロン,市場第一部（内国株）,1000,貸借銘柄
6278,ユニオンツール,市場第一部（内国株）,100,貸借銘柄
6279,瑞光,市場第二部（内国株）,100,貸借銘柄
6281,Ｊ－前田製作,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6282,オイレス工,市場第一部（内国株）,100,貸借銘柄
6284,ＡＳＢ機械,市場第一部（内国株）,100,貸借銘柄
6286,Ｊ－靜甲,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6287,サトーＨＤ,市場第一部（内国株）,100,貸借銘柄
6289,技研製作所,市場第二部（内国株）,100,貸借銘柄
6291,エアーテック,市場第一部（内国株）,100,制度信用銘柄
6292,カワタ,市場第二部（内国株）,100,制度信用銘柄
6293,日精樹脂,市場第一部（内国株）,100,貸借銘柄
6294,オカダアイヨン,市場第二部（内国株）,100,制度信用銘柄
6297,Ｊ－鉱研工業,JASDAQスタンダード（内国株式）,100,貸借銘柄
6298,ワイエイシイ,市場第一部（内国株）,100,貸借銘柄
6299,神鋼環境,市場第二部（内国株）,1000,貸借銘柄
6300,アピクヤマダ,市場第二部（内国株）,1000,制度信用銘柄
6301,コマツ,市場第一部（内国株）,100,貸借銘柄
6302,住友重,市場第一部（内国株）,1000,貸借銘柄
6303,ササクラ,市場第二部（内国株）,1000,貸借銘柄
6305,日立建機,市場第一部（内国株）,100,貸借銘柄
6306,日工,市場第一部（内国株）,1000,貸借銘柄
6307,サンセイ,市場第二部（内国株）,1000,制度信用銘柄
6309,巴工業,市場第一部（内国株）,100,制度信用銘柄
6310,井関農,市場第一部（内国株）,1000,貸借銘柄
6312,Ｊ－フロイント,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6314,Ｊ－石井工研,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6315,ＴＯＷＡ,市場第一部（内国株）,100,貸借銘柄
6316,丸山製,市場第一部（内国株）,1000,貸借銘柄
6317,北川鉄,市場第一部（内国株）,1000,貸借銘柄
6319,シンニッタン,市場第一部（内国株）,100,制度信用銘柄
6322,タクミナ,市場第二部（内国株）,100,制度信用銘柄
6323,ローツェ,市場第二部（内国株）,100,制度信用銘柄
6324,Ｊ－ハーモニック,JASDAQスタンダード（内国株式）,100,貸借銘柄
6325,タカキタ,市場第一部（内国株）,100,制度信用銘柄
6326,クボタ,市場第一部（内国株）,100,貸借銘柄
6327,Ｊ－北川精機,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6328,荏原実業,市場第一部（内国株）,100,貸借銘柄
6330,洋エンジ,市場第一部（内国株）,1000,貸借銘柄
6331,菱化工機,市場第一部（内国株）,1000,貸借銘柄
6332,月島機,市場第一部（内国株）,100,貸借銘柄
6333,帝国電機,市場第一部（内国株）,100,貸借銘柄
6334,明治機,市場第二部（内国株）,100,制度信用銘柄
6335,東京機,市場第一部（内国株）,1000,貸借銘柄
6336,石井表記,市場第二部（内国株）,100,制度信用銘柄
6337,Ｊ－テセック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6338,タカトリ,市場第二部（内国株）,100,貸借銘柄
6339,新東工,市場第一部（内国株）,100,貸借銘柄
6340,渋谷工,市場第一部（内国株）,100,貸借銘柄
6342,太平製作所,市場第二部（内国株）,1000,制度信用銘柄
6343,フリージアマク,市場第二部（内国株）,1000,貸借銘柄
6345,アイチ,市場第一部（内国株）,100,貸借銘柄
6346,キクカワ,市場第二部（内国株）,1000,制度信用銘柄
6347,Ｊ－プラコー,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6349,小森,市場第一部（内国株）,100,貸借銘柄
6351,鶴見製,市場第一部（内国株）,100,貸借銘柄
6355,住友精密,市場第一部（内国株）,1000,貸借銘柄
6356,日ギア,市場第二部（内国株）,1000,制度信用銘柄
6357,三精テクノロジーズ,市場第二部（内国株）,100,貸借銘柄
6358,酒井重,市場第一部（内国株）,1000,貸借銘柄
6360,東自機,市場第二部（内国株）,1000,制度信用銘柄
6361,荏原製,市場第一部（内国株）,1000,貸借銘柄
6362,石井鉄,市場第一部（内国株）,1000,貸借銘柄
6363,酉島製,市場第一部（内国株）,100,貸借銘柄
6364,北越工,市場第一部（内国株）,100,貸借銘柄
6365,電業社,市場第二部（内国株）,100,制度信用銘柄
6366,千代化建,市場第一部（内国株）,1000,貸借銘柄
6367,ダイキン工,市場第一部（内国株）,100,貸借銘柄
6368,オルガノ,市場第一部（内国株）,1000,貸借銘柄
6369,トーヨーカネツ,市場第一部（内国株）,1000,貸借銘柄
6370,栗田工,市場第一部（内国株）,100,貸借銘柄
6371,椿本チエイン,市場第一部（内国株）,1000,貸借銘柄
6373,大同工,市場第一部（内国株）,1000,貸借銘柄
6375,日コンベヤ,市場第一部（内国株）,1000,制度信用銘柄
6376,日機装,市場第一部（内国株）,100,貸借銘柄
6378,木村化工,市場第一部（内国株）,100,貸借銘柄
6379,新興プラン,市場第一部（内国株）,100,貸借銘柄
6380,オリチエン工業,市場第二部（内国株）,1000,制度信用銘柄
6381,アネスト岩田,市場第一部（内国株）,100,貸借銘柄
6382,トリニ工,市場第二部（内国株）,1000,制度信用銘柄
6383,ダイフク,市場第一部（内国株）,100,貸借銘柄
6384,Ｊ－昭和真空,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6387,サムコ,市場第一部（内国株）,100,制度信用銘柄
6390,加藤製,市場第一部（内国株）,1000,貸借銘柄
6391,加地テック,市場第二部（内国株）,1000,貸借銘柄
6392,ヤマダコーポ,市場第二部（内国株）,1000,制度信用銘柄
6393,油研工,市場第一部（内国株）,1000,貸借銘柄
6395,タダノ,市場第一部（内国株）,1000,貸借銘柄
6396,宇野沢鉄,市場第二部（内国株）,1000,制度信用銘柄
6397,郷鉄工所,市場第二部（内国株）,1000,制度信用銘柄
6400,Ｊ－不二精機,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6402,兼松エンジニア,市場第二部（内国株）,100,制度信用銘柄
6403,Ｊ－水道機工,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6405,Ｊ－鈴茂器工,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6406,フジテック,市場第一部（内国株）,100,貸借銘柄
6407,ＣＫＤ,市場第一部（内国株）,100,貸借銘柄
6408,Ｊ－小倉クラッチ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6409,キトー,市場第一部（内国株）,100,貸借銘柄
6411,Ｊ－中野冷機,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6412,平和,市場第一部（内国株）,100,貸借銘柄
6413,理想科学,市場第一部（内国株）,100,貸借銘柄
6414,Ｊ－川重冷熱,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6416,Ｊ－桂川電機,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6417,ＳＡＮＫＹＯ,市場第一部（内国株）,100,貸借銘柄
6418,日金銭,市場第一部（内国株）,100,貸借銘柄
6419,マースエンジ,市場第一部（内国株）,100,貸借銘柄
6420,福島工業,市場第一部（内国株）,100,制度信用銘柄
6424,Ｊ－高見サイ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6425,Ｊ－ユニバーサル,JASDAQスタンダード（内国株式）,100,貸借銘柄
6428,オーイズミ,市場第一部（内国株）,100,貸借銘柄
6430,ダイコク電,市場第一部（内国株）,100,貸借銘柄
6432,竹内製作所,市場第一部（内国株）,100,貸借銘柄
6433,Ｊ－ヒーハイスト,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6436,アマノ,市場第一部（内国株）,100,貸借銘柄
6440,ＪＵＫＩ,市場第一部（内国株）,100,貸借銘柄
6444,サンデンＨＤ,市場第一部（内国株）,1000,貸借銘柄
6445,蛇の目,市場第一部（内国株）,100,貸借銘柄
6448,ブラザー,市場第一部（内国株）,100,貸借銘柄
6454,マックス,市場第一部（内国株）,1000,貸借銘柄
6455,モリタＨＤ,市場第一部（内国株）,100,貸借銘柄
6457,グローリー,市場第一部（内国株）,100,貸借銘柄
6458,新晃工業,市場第一部（内国株）,100,貸借銘柄
6459,大和冷機,市場第一部（内国株）,100,貸借銘柄
6460,セガサミーＨＤ,市場第一部（内国株）,100,貸借銘柄
6461,日ピストン,市場第一部（内国株）,100,貸借銘柄
6462,リケン,市場第一部（内国株）,1000,貸借銘柄
6463,ＴＰＲ,市場第一部（内国株）,100,貸借銘柄
6464,ツバキ・ナカシマ,市場第一部（内国株）,100,制度信用銘柄
6465,ホシザキ,市場第一部（内国株）,100,貸借銘柄
6466,東亜バル,市場第二部（内国株）,100,貸借銘柄
6467,Ｊ－ニチダイ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6469,Ｊ－放電精密,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6470,大豊工業,市場第一部（内国株）,100,貸借銘柄
6471,日本精工,市場第一部（内国株）,100,貸借銘柄
6472,ＮＴＮ,市場第一部（内国株）,1000,貸借銘柄
6473,ジェイテクト,市場第一部（内国株）,100,貸借銘柄
6474,不二越,市場第一部（内国株）,1000,貸借銘柄
6476,Ｊ－富士テクニカ宮津,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6478,ダイベア,市場第二部（内国株）,1000,貸借銘柄
6479,ミネベア,市場第一部（内国株）,1000,貸借銘柄
6480,日トムソン,市場第一部（内国株）,1000,貸借銘柄
6481,ＴＨＫ,市場第一部（内国株）,100,貸借銘柄
6482,ユーシン精機,市場第一部（内国株）,100,貸借銘柄
6484,Ｊ－ＫＶＫ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6485,前沢給装,市場第一部（内国株）,100,貸借銘柄
6486,イーグル工,市場第一部（内国株）,100,貸借銘柄
6488,Ｊ－ヨシタケ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6489,前沢工,市場第一部（内国株）,100,貸借銘柄
6490,日ピラ工,市場第一部（内国株）,100,貸借銘柄
6492,岡野バル,市場第二部（内国株）,1000,制度信用銘柄
6493,日鍛バル,市場第二部（内国株）,100,制度信用銘柄
6494,Ｊ－ＮＦＫ－ＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6495,宮入バル,市場第二部（内国株）,100,制度信用銘柄
6496,中北製作所,市場第二部（内国株）,1000,貸借銘柄
6497,Ｊ－ハマイ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6498,キッツ,市場第一部（内国株）,100,貸借銘柄
6501,日立,市場第一部（内国株）,1000,貸借銘柄
6502,東芝,市場第一部（内国株）,1000,貸借銘柄
6503,三菱電,市場第一部（内国株）,1000,貸借銘柄
6504,富士電機,市場第一部（内国株）,1000,貸借銘柄
6505,東洋電,市場第一部（内国株）,1000,貸借銘柄
6506,安川電,市場第一部（内国株）,100,貸借銘柄
6507,シンフォニア,市場第一部（内国株）,1000,貸借銘柄
6508,明電舎,市場第一部（内国株）,1000,貸借銘柄
6513,オリジン電,市場第一部（内国株）,1000,制度信用銘柄
6516,山洋電気,市場第一部（内国株）,1000,貸借銘柄
6517,デンヨー,市場第一部（内国株）,100,貸借銘柄
6518,Ｊ－三相電機,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6581,日立工機,市場第一部（内国株）,100,貸借銘柄
6584,三桜工,市場第一部（内国株）,100,貸借銘柄
6586,マキタ,市場第一部（内国株）,100,貸借銘柄
6588,東芝テック,市場第一部（内国株）,1000,貸借銘柄
6590,芝浦,市場第一部（内国株）,1000,貸借銘柄
6591,西芝電,市場第二部（内国株）,1000,制度信用銘柄
6592,マブチモーター,市場第一部（内国株）,100,貸借銘柄
6593,Ｊ－ローヤル電機,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6594,日本電産,市場第一部（内国株）,100,貸借銘柄
6616,トレックスセミ,市場第二部（内国株）,100,制度信用銘柄
6617,東光高岳,市場第一部（内国株）,100,貸借銘柄
6618,Ｍ－大泉製,マザーズ（内国株）,100,制度信用銘柄
6619,ＷＳＣＯＰＥ,市場第一部（内国株）,100,貸借銘柄
6620,宮越ＨＤ,市場第一部（内国株）,100,制度信用銘柄
6622,ダイヘン,市場第一部（内国株）,1000,貸借銘柄
6624,田淵電機,市場第一部（内国株）,100,貸借銘柄
6625,Ｊ－ＪＡＬＣＯ　ＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6626,Ｊ－ＳＥＭＩＴＥＣ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6627,Ｍ－テラプロ,マザーズ（内国株）,100,制度信用銘柄
6628,Ｊ－オンキヨー,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6629,Ｊ－テクノホライゾン,JASDAQスタンダード（内国株式）,100,貸借銘柄
6630,ヤーマン,市場第一部（内国株）,100,制度信用銘柄
6632,ＪＶＣＫＷ,市場第一部（内国株）,100,貸借銘柄
6633,Ｊ－Ｃ＆ＧＳＹＳ,JASDAQスタンダード（内国株式）,100,貸借銘柄
6634,Ｊ－ネクスＧ,JASDAQスタンダード（内国株式）,100,貸借銘柄
6635,Ｊ－大日光,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6636,Ｊ－ＳＯＬＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6637,Ｊ－寺崎電気,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6638,Ｍｉｍａｋｉ,市場第一部（内国株）,100,貸借銘柄
6639,コンテック,市場第二部（内国株）,100,貸借銘柄
6640,第一精工,市場第一部（内国株）,100,貸借銘柄
6641,日新電,市場第一部（内国株）,100,貸借銘柄
6643,戸上電,市場第二部（内国株）,1000,貸借銘柄
6644,大崎電,市場第一部（内国株）,1000,貸借銘柄
6645,オムロン,市場第一部（内国株）,100,貸借銘柄
6647,森尾電,市場第二部（内国株）,1000,制度信用銘柄
6648,Ｊ－かわでん,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6651,日東工,市場第一部（内国株）,100,貸借銘柄
6652,ＩＤＥＣ,市場第一部（内国株）,100,貸借銘柄
6654,不二電機工業,市場第一部（内国株）,100,貸借銘柄
6656,Ｍ－ＩＮＳＰＥＣ,マザーズ（内国株）,100,制度信用銘柄
6658,Ｊ－シライ電子,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6659,Ｊ－メディアＧＬ,JASDAQスタンダード（内国株式）,100,貸借銘柄
6661,Ｊ－ＯＰＴＥＸ　ＦＡ,JASDAQスタンダード（内国株式）,100,貸借銘柄
6662,Ｊ－ユビテック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6663,Ｊ－太洋工業,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6664,Ｊ－オプトエレクト,JASDAQスタンダード（内国株式）,100,貸借銘柄
6666,Ｊ－リバーエレテク,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6668,アドテック　プラズマ,市場第二部（内国株）,100,制度信用銘柄
6669,Ｊ－シーシーエス,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6670,ＭＣＪ,市場第二部（内国株）,100,制度信用銘柄
6674,ＧＳユアサ,市場第一部（内国株）,1000,貸借銘柄
6675,サクサ,市場第一部（内国株）,1000,貸借銘柄
6676,メルコ,市場第一部（内国株）,100,貸借銘柄
6677,Ｊ－エスケーエレク,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6678,テクノメディカ,市場第一部（内国株）,100,制度信用銘柄
6701,ＮＥＣ,市場第一部（内国株）,1000,貸借銘柄
6702,富士通,市場第一部（内国株）,1000,貸借銘柄
6703,ＯＫＩ,市場第一部（内国株）,1000,貸借銘柄
6704,岩崎通,市場第一部（内国株）,1000,貸借銘柄
6706,電気興,市場第一部（内国株）,1000,貸借銘柄
6707,サンケン電,市場第一部（内国株）,1000,貸借銘柄
6709,明星電,市場第二部（内国株）,1000,制度信用銘柄
6715,ナカヨ,市場第一部（内国株）,1000,貸借銘柄
6716,Ｊ－テクニカル電,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6718,アイホン,市場第一部（内国株）,100,貸借銘柄
6719,富士通コン,市場第二部（内国株）,100,制度信用銘柄
6721,ウインテスト,市場第二部（内国株）,100,制度信用銘柄
6722,Ｊ－Ａ＆Ｔ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6723,ルネサス,市場第一部（内国株）,100,貸借銘柄
6724,エプソン,市場第一部（内国株）,100,貸借銘柄
6727,ワコム,市場第一部（内国株）,100,貸借銘柄
6728,アルバック,市場第一部（内国株）,100,貸借銘柄
6730,アクセル,市場第一部（内国株）,100,貸借銘柄
6731,ピクセラ,市場第二部（内国株）,100,制度信用銘柄
6734,Ｊ－ニューテック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6736,Ｊ－サン電子,JASDAQスタンダード（内国株式）,100,貸借銘柄
6737,ＥＩＺＯ,市場第一部（内国株）,100,貸借銘柄
6740,ＪＤＩ,市場第一部（内国株）,100,貸借銘柄
6741,日信号,市場第一部（内国株）,100,貸借銘柄
6742,京三製,市場第一部（内国株）,1000,貸借銘柄
6743,大同信号,市場第二部（内国株）,1000,制度信用銘柄
6744,能美防災,市場第一部（内国株）,100,貸借銘柄
6745,ホーチキ,市場第一部（内国株）,100,貸借銘柄
6747,ＫＩＨＤ,市場第二部（内国株）,1000,制度信用銘柄
6748,星和電機,市場第二部（内国株）,100,貸借銘柄
6750,エレコム,市場第一部（内国株）,100,貸借銘柄
6751,日無線,市場第一部（内国株）,1000,貸借銘柄
6752,パナソニック,市場第一部（内国株）,100,貸借銘柄
6753,シャープ,市場第一部（内国株）,1000,貸借銘柄
6754,アンリツ,市場第一部（内国株）,100,貸借銘柄
6755,富士通ゼ,市場第一部（内国株）,1000,貸借銘柄
6756,日立国際,市場第一部（内国株）,100,貸借銘柄
6757,Ｊ－ＯＳＧコーポ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6758,ソニー,市場第一部（内国株）,100,貸借銘柄
6762,ＴＤＫ,市場第一部（内国株）,100,貸借銘柄
6763,帝通工,市場第一部（内国株）,1000,貸借銘柄
6767,ミツミ電,市場第一部（内国株）,100,貸借銘柄
6768,タムラ製,市場第一部（内国株）,1000,貸借銘柄
6769,Ｊ－ザイン,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6770,アルプス電,市場第一部（内国株）,100,貸借銘柄
6771,池上通,市場第一部（内国株）,1000,貸借銘柄
6772,コスモス電,市場第二部（内国株）,1000,制度信用銘柄
6773,パイオニア,市場第一部（内国株）,100,貸借銘柄
6775,ＴＢグループ,市場第二部（内国株）,1000,制度信用銘柄
6776,天昇電,市場第二部（内国株）,1000,制度信用銘柄
6777,Ｊ－ＳＡＮＴＥＣ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6778,アルチザ,市場第二部（内国株）,100,貸借銘柄
6779,日電波,市場第一部（内国株）,100,制度信用銘柄
6785,鈴木,市場第一部（内国株）,100,制度信用銘柄
6786,ＲＶＨ,市場第二部（内国株）,100,制度信用銘柄
6787,Ｊ－メイコー,JASDAQスタンダード（内国株式）,100,貸借銘柄
6788,日本トリム,市場第一部（内国株）,100,貸借銘柄
6789,ローランドＤＧ,市場第一部（内国株）,100,貸借銘柄
6791,コロムビア,市場第一部（内国株）,100,貸借銘柄
6794,フォスター電,市場第一部（内国株）,100,貸借銘柄
6796,クラリオン,市場第一部（内国株）,1000,貸借銘柄
6798,ＳＭＫ,市場第一部（内国株）,1000,貸借銘柄
6800,ヨコオ,市場第一部（内国株）,100,貸借銘柄
6801,東光,市場第一部（内国株）,1000,貸借銘柄
6803,ティアック,市場第一部（内国株）,1000,貸借銘柄
6804,ホシデン,市場第一部（内国株）,100,貸借銘柄
6806,ヒロセ電,市場第一部（内国株）,100,貸借銘柄
6807,航空電子,市場第一部（内国株）,1000,貸借銘柄
6809,ＴＯＡ,市場第一部（内国株）,100,貸借銘柄
6810,日立マクセル,市場第一部（内国株）,100,貸借銘柄
6814,古野電気,市場第一部（内国株）,100,貸借銘柄
6815,ユニデンＨＤ,市場第一部（内国株）,1000,貸借銘柄
6816,アルパイン,市場第一部（内国株）,100,貸借銘柄
6817,スミダ,市場第一部（内国株）,100,貸借銘柄
6819,Ｊ－伊豆シャボテンＲ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6820,アイコム,市場第一部（内国株）,100,貸借銘柄
6822,Ｊ－大井電気,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6823,リオン,市場第一部（内国株）,100,貸借銘柄
6824,Ｊ－新コスモス,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6826,本多通信,市場第二部（内国株）,100,貸借銘柄
6832,アオイ電子,市場第二部（内国株）,100,制度信用銘柄
6834,Ｊ－精工技研,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6835,アライドＨＤ,市場第二部（内国株）,100,制度信用銘柄
6836,プラット,市場第二部（内国株）,100,制度信用銘柄
6837,Ｊ－京写,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6838,Ｊ－多摩川ＨＤ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6839,船井電機,市場第一部（内国株）,100,貸借銘柄
6840,Ｊ－ＡＫＩＢＡ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6841,横河電,市場第一部（内国株）,100,貸借銘柄
6844,新電元,市場第一部（内国株）,1000,貸借銘柄
6845,アズビル,市場第一部（内国株）,100,貸借銘柄
6848,東亜ディーケーケー,市場第一部（内国株）,100,貸借銘柄
6849,日本光電,市場第一部（内国株）,100,貸借銘柄
6850,チノー,市場第一部（内国株）,100,貸借銘柄
6852,Ｊ－テクノ・セブン,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6853,共和電,市場第一部（内国株）,100,貸借銘柄
6855,電子材料,市場第一部（内国株）,100,貸借銘柄
6856,堀場製,市場第一部（内国株）,100,貸借銘柄
6857,アドバンテス,市場第一部（内国株）,100,貸借銘柄
6858,小野測器,市場第一部（内国株）,100,制度信用銘柄
6859,エスペック,市場第一部（内国株）,100,貸借銘柄
6860,パナＳＵＮＸ,市場第一部（内国株）,100,貸借銘柄
6861,キーエンス,市場第一部（内国株）,100,貸借銘柄
6862,Ｊ－ミナトＨＤ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6863,Ｊ－ニレコ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6864,Ｊ－エヌエフ回路,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6866,日置電,市場第一部（内国株）,100,制度信用銘柄
6867,Ｊ－リーダ電子,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6869,シスメックス,市場第一部（内国株）,100,貸借銘柄
6870,日本フェンオール,市場第二部（内国株）,100,制度信用銘柄
6871,日マイクロニクス,市場第一部（内国株）,100,貸借銘柄
6874,Ｊ－協立電機,JASDAQスタンダード（内国株式）,100,貸借銘柄
6875,メガチップス,市場第一部（内国株）,100,貸借銘柄
6877,ＯＢＡＲＡ－Ｇ,市場第一部（内国株）,100,貸借銘柄
6878,長野日無,市場第二部（内国株）,1000,貸借銘柄
6879,イマジカロボットＨＤ,市場第一部（内国株）,100,貸借銘柄
6881,キョウデン,市場第二部（内国株）,100,貸借銘柄
6882,三社電機製作所,市場第二部（内国株）,100,貸借銘柄
6888,Ｊ－アクモス,JASDAQスタンダード（内国株式）,100,貸借銘柄
6889,Ｊ－オーデリック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6890,Ｊ－フェローテック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6891,Ｊ－イーター電機,JASDAQスタンダード（内国株式）,1000,非制度信用銘柄
6894,パルステック,市場第二部（内国株）,1000,制度信用銘柄
6895,ダイヤモンド電機,市場第二部（内国株）,1000,制度信用銘柄
6897,ツインバード,市場第二部（内国株）,1000,制度信用銘柄
6898,Ｊ－トミタ電機,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6899,ＡＳＴＩ,市場第二部（内国株）,1000,制度信用銘柄
6901,沢藤電,市場第一部（内国株）,1000,貸借銘柄
6902,デンソー,市場第一部（内国株）,100,貸借銘柄
6904,Ｊ－原田工業,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
6905,コーセル,市場第一部（内国株）,100,貸借銘柄
6907,Ｊ－ジオマテック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6908,Ｊ－イリソ電子,JASDAQスタンダード（内国株式）,100,貸借銘柄
6911,新日無,市場第一部（内国株）,100,貸借銘柄
6912,Ｊ－菊水電子,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6914,オプテックス,市場第一部（内国株）,100,貸借銘柄
6915,千代インテ,市場第一部（内国株）,100,貸借銘柄
6916,アイオーデータ,市場第一部（内国株）,100,貸借銘柄
6918,Ｊ－アバール,JASDAQスタンダード（内国株式）,100,制度信用銘柄
6919,Ｊ－ケル,JASDAQスタンダード（内国株式）,1000,貸借銘柄
6920,レーザーテック,市場第一部（内国株）,100,制度信用銘柄
6923,スタンレー電,市場第一部（内国株）,100,貸借銘柄
6924,岩崎電,市場第一部（内国株）,1000,貸借銘柄
6925,ウシオ電,市場第一部（内国株）,100,貸借銘柄
