3月7日現在,,,,
銘柄コード,銘柄名,上場グループ種別,売買単位,貸借区分
1566,上場ＥＭ債,内国投信受益証券,1,貸借銘柄
1567,ＭＸＳリスク５,内国投信受益証券,10,貸借銘柄
1568,ＴＰレバレッジダブル,内国投信受益証券,10,貸借銘柄
1569,トピックスインバース,内国投信受益証券,10,貸借銘柄
1570,日経レバＥＴＦ,内国投信受益証券,1,貸借銘柄
1571,日経インバＥＴＦ,内国投信受益証券,1,貸借銘柄
1572,Ｈ株レバレッジダブル,内国投信受益証券,10,貸借銘柄
1573,Ｈ株インバース,内国投信受益証券,10,貸借銘柄
1574,ＭＸＳリスク１０,内国投信受益証券,10,貸借銘柄
1575,中国Ａ３００,外国投信受益証券,10,貸借銘柄
1576,南方Ａ５０,外国投信受益証券,10,貸借銘柄
1577,高配当７０,内国投信受益証券,1,貸借銘柄
1578,上場２２５Ｍ,内国投信受益証券,1,貸借銘柄
1579,日経レバレッジダブル,内国投信受益証券,10,貸借銘柄
1580,２２５インバース,内国投信受益証券,10,貸借銘柄
1581,ｉＳ先進国株,外国投信受益証券,1,貸借銘柄
1582,ｉＳエマージング株,外国投信受益証券,1,貸借銘柄
1583,ｉＳフロンティア株,外国投信受益証券,1,貸借銘柄
1584,ＫＯＤＥＸサムスン株,外国投信受益証券,10,貸借銘柄
1585,ダイワＥＸ－Ｆ,内国投信受益証券,10,貸借銘柄
1586,上場ＴＰＸ除く金融,内国投信受益証券,1,貸借銘柄
1587,ｉＳ米国超大型株,外国投信受益証券,1,貸借銘柄
1588,ｉＳ米国小型株,外国投信受益証券,1,貸借銘柄
1589,ｉＳ米国高配当株,外国投信受益証券,1,貸借銘柄
1590,ｉＳ米国リート,外国投信受益証券,1,貸借銘柄
1591,ＪＰＸ日経４００,内国投信受益証券,1,貸借銘柄
1592,上場ＪＰＸ日経４００,内国投信受益証券,1,貸借銘柄
1593,ＭＸＳ４００,内国投信受益証券,1,貸借銘柄
1595,ＮＺＡＭ　Ｊリート,内国投信受益証券,10,貸借銘柄
1596,ＮＺＡＭ　Ｅｘ―Ｆ,内国投信受益証券,10,貸借銘柄
1597,ＭＸＳ　Ｊリート,内国投信受益証券,10,貸借銘柄
1598,ＲＮＦＩ　ＥＴＦ,内国投信受益証券,1,貸借銘柄
1599,大和ＪＰＸ日経４００,内国投信受益証券,1,貸借銘柄
1605,国際帝石,市場第一部（内国株）,100,貸借銘柄
1606,海洋掘削,市場第一部（内国株）,100,貸借銘柄
1610,ＥＴＦ・電機,内国投信受益証券,10,貸借銘柄
1612,ＥＴＦ・銀行,内国投信受益証券,100,貸借銘柄
1613,電機,内国投信受益証券,10,貸借銘柄
1615,銀行,内国投信受益証券,100,貸借銘柄
