▼一般信用（長期・売短）売建可能銘柄一覧
種類,融資銘柄,銘柄コード,銘柄名称
長期,,1934,ユアテック
長期,,1937,西部電気工業
長期,,1939,四電工
長期,,1941,中電工
長期,,1942,関電工
長期,,1944,きんでん
長期,,1945,東京エネシス
長期,,1946,トーエネック
長期,,1949,住友電設
長期,,1950,日本電設工業
長期,,1951,協和エクシオ
長期,,1954,日本工営
長期,,1956,ＮＤＳ
長期,,1959,九電工
長期,,1961,三機工業
長期,,1963,日揮
長期,,1964,中外炉工業
長期,,1967,ヤマト
長期,,1968,太平電業
長期,,1969,高砂熱学工業
長期,,1972,三晃金属工業
長期,,1973,ＮＥＣネッツエスアイ
長期,,1975,朝日工業社
長期,,1976,明星工業
長期,,1979,大氣社
長期,,1980,ダイダン
長期,,1982,日比谷総合設備
長期,,1983,東芝プラントシステム
長期,,2001,日本製粉
長期,,2002,日清製粉グループ本社
長期,,2004,昭和産業
長期,,2009,鳥越製粉
長期,,2053,中部飼料
長期,,2060,フィード・ワン
長期,○,2107,東洋精糖
長期,,2108,日本甜菜製糖
長期,,2109,三井製糖
長期,○,2120,ネクスト
長期,,2121,ミクシィ
売短,○,2124,ジェイエイシーリクルートメント
長期,,2127,日本Ｍ＆Ａセンター
売短,,2128,ノバレーゼ
長期,,2131,アコーディア・ゴルフ
売短,○,2159,フルスピード
長期,,2174,ＧＣＡサヴィアン
長期,○,2175,エス・エム・エス
売短,○,2178,トライステージ
長期,,2181,テンプホールディングス
売短,○,2186,ソーバル
売短,,2191,テラ
売短,,2193,クックパッド
売短,,2198,アイ・ケイ・ケイ
長期,,2201,森永製菓
長期,,2204,中村屋
長期,,2206,江崎グリコ
売短,,2211,不二家
長期,,2212,山崎製パン
長期,,2215,第一屋製パン
長期,,2217,モロゾフ
長期,,2220,亀田製菓
売短,○,2228,シベール
長期,,2229,カルビー
長期,,2264,森永乳業
長期,,2267,ヤクルト本社
長期,,2269,明治ホールディングス
長期,,2270,雪印メグミルク
長期,,2281,プリマハム
長期,,2282,日本ハム
長期,,2284,伊藤ハム
長期,,2288,丸大食品
売短,,2292,エスフーズ
売短,,2294,柿安本店
売短,○,2300,きょくとう
長期,,2305,スタジオアリス
長期,,2309,シミックホールディングス
売短,○,2311,エプコ
売短,,2315,ＳＪＩ
長期,,2317,システナ
長期,,2325,ＮＪＳ
長期,,2327,新日鉄住金ソリューションズ
長期,,2331,綜合警備保障
長期,,2335,キューブシステム
売短,,2337,いちごグループホールディングス
売短,○,2341,アルバイトタイムス
売短,○,2353,日本駐車場開発
長期,,2371,カカクコム
長期,,2379,ディップ
長期,,2384,ＳＢＳホールディングス
売短,○,2385,総医研ホールディングス
長期,,2389,オプトホールディング
売短,○,2391,プラネット
長期,,2398,ツクイ
売短,,2402,アマナ
売短,,2404,鉄人化計画
売短,,2405,ＦＵＪＩＫＯＨ
売短,○,2406,アルテ　サロン　ホールディングス
売短,○,2408,ＫＧ情報
長期,,2412,ベネフィット・ワン
長期,,2413,エムスリー
売短,○,2417,ツヴァイ
売短,,2418,ツカダ・グローバルホールディング
売短,,2428,ウェルネット
長期,,2432,ディー・エヌ・エー
長期,,2433,博報堂ＤＹホールディングス
売短,○,2438,アスカネット
長期,,2440,ぐるなび
売短,,2461,ファンコミュニケーションズ
売短,○,2471,エスプール
売短,,2481,タウンニュース社
長期,,2491,バリューコマース
